date,medicine_name,category,quantity_sold,stock_on_hand,price_per_unit,expiry_date
2023-07-01,Paracetamol,Painkiller,18,982,2.0,2024-06-11
2023-07-01,Ibuprofen,Painkiller,20,980,3.0,2025-01-30
2023-07-01,Amoxicillin,Antibiotic,10,990,5.0,2025-01-30
2023-07-01,Cetirizine,Antihistamine,22,978,1.5,2024-08-21
2023-07-01,Azithromycin,Antibiotic,15,985,6.0,2024-08-17
2023-07-01,Metformin,Diabetes,12,988,2.5,2024-02-10
2023-07-01,Pantoprazole,Antacid,9,991,2.0,2025-06-01
2023-07-01,Dolo 650,Painkiller,14,986,2.0,2025-03-09
2023-07-01,Cough Syrup,Cold/Flu,17,983,4.0,2023-12-31
2023-07-01,Multivitamin,Supplement,14,986,3.0,2024-09-11
2023-07-01,ORS Sachet,Dehydration,7,993,1.0,2025-04-11
2023-07-01,Antimalarial,Malaria,14,986,7.0,2025-02-09
2023-07-01,Dengue Kit,Dengue Fever,11,989,12.0,2025-05-14
2023-07-01,Antiviral,Viral Fever,5,995,10.0,2024-06-13
2023-07-01,Insulin,Diabetes,7,993,15.0,2024-12-15
2023-07-02,Paracetamol,Painkiller,23,977,2.0,2025-01-15
2023-07-02,Ibuprofen,Painkiller,6,994,3.0,2024-11-03
2023-07-02,Amoxicillin,Antibiotic,5,995,5.0,2024-11-29
2023-07-02,Cetirizine,Antihistamine,4,996,1.5,2025-06-10
2023-07-02,Azithromycin,Antibiotic,2,998,6.0,2025-03-10
2023-07-02,Metformin,Diabetes,17,983,2.5,2024-12-27
2023-07-02,Pantoprazole,Antacid,18,982,2.0,2025-01-20
2023-07-02,Dolo 650,Painkiller,8,992,2.0,2025-03-26
2023-07-02,Cough Syrup,Cold/Flu,18,982,4.0,2025-03-10
2023-07-02,Multivitamin,Supplement,11,989,3.0,2024-11-20
2023-07-02,ORS Sachet,Dehydration,18,982,1.0,2025-05-21
2023-07-02,Antimalarial,Malaria,10,990,7.0,2024-12-11
2023-07-02,Dengue Kit,Dengue Fever,18,982,12.0,2025-01-27
2023-07-02,Antiviral,Viral Fever,23,977,10.0,2025-02-18
2023-07-02,Insulin,Diabetes,7,993,15.0,2025-03-03
2023-07-03,Paracetamol,Painkiller,14,986,2.0,2025-03-10
2023-07-03,Ibuprofen,Painkiller,4,996,3.0,2024-07-16
2023-07-03,Amoxicillin,Antibiotic,2,998,5.0,2024-11-03
2023-07-03,Cetirizine,Antihistamine,21,979,1.5,2024-03-24
2023-07-03,Azithromycin,Antibiotic,4,996,6.0,2024-08-16
2023-07-03,Metformin,Diabetes,8,992,2.5,2024-12-16
2023-07-03,Pantoprazole,Antacid,10,990,2.0,2024-03-07
2023-07-03,Dolo 650,Painkiller,14,986,2.0,2024-07-20
2023-07-03,Cough Syrup,Cold/Flu,7,993,4.0,2024-02-06
2023-07-03,Multivitamin,Supplement,19,981,3.0,2024-11-18
2023-07-03,ORS Sachet,Dehydration,16,984,1.0,2025-01-29
2023-07-03,Antimalarial,Malaria,16,984,7.0,2025-03-19
2023-07-03,Dengue Kit,Dengue Fever,14,986,12.0,2024-01-14
